Food Name,Measurement,Gram Equivalent,Calories,Protein,Total Carbs,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Cholesterol,Sodium,Dietary Fiber,Total Sugars,Potassium,Vitamin A,Vitamin C,Calcium,Iron
Egg,Per gram,1.0,1.48,0.12,0.0,0.08,0.0,0.02,0.0,4.24,1.4,0.0,0.0,1.34,1.4,0.0,0.52,0.0
,Small,100.0,56.24,4.56,0.0,3.04,0.76,0.76,0.0,161.12,53.2,0.0,0.0,50.92,53.2,0.0,19.76,0.0
,Medium,100.0,65.12,5.28,0.0,3.52,0.88,0.88,0.0,186.56,61.6,0.0,0.0,58.96,61.6,0.0,22.88,0.0
,Large,100.0,74.0,6.0,0.0,4.0,1.0,1.0,0.0,212.0,70.0,0.0,0.0,67.0,70.0,0.0,26.0,0.0
,Extra Large,100.0,88.8,7.2,0.0,4.8,1.2,1.2,0.0,254.4,84.0,0.0,0.0,80.4,84.0,0.0,31.2,0.0
,Jumbo,100.0,103.6,8.4,0.0,5.6,1.4,1.4,0.0,296.8,98.0,0.0,0.0,93.8,98.0,0.0,36.4,0.0
Boiled Egg,Per serving (150 g),150.0,211.0,17.1,1.5,14.4,4.4,5.5,1.9,507.0,0.4,0.0,1.5,171.0,203.0,0.0,68.0,1.6
,Per gram,1.0,3.02,0.24,0.21,0.21,0.06,0.08,0.03,7.25,0.006,0.0,0.02,2.44,2.9,0.0,0.97,0.02
,Small,100.0,114.57,9.29,0.81,7.82,2.39,2.99,1.03,275.3,0.217,0.0,0.81,92.85,110.23,0.0,36.92,0.87
,Medium,100.0,132.72,10.76,0.94,9.06,2.77,3.46,1.2,318.9,0.252,0.0,0.94,107.56,127.69,0.0,42.77,1.01
,Large,100.0,150.65,12.21,1.07,10.28,3.14,3.93,1.36,362.0,0.286,0.0,1.07,122.19,144.94,0.0,48.55,1.14
,Jumbo,100.0,211.0,17.1,1.5,14.4,4.4,5.5,1.9,507.0,0.4,0.0,1.5,171.0,203.0,0.0,68.0,1.6
Avocado,Per serving (150 g),150.0,322.0,4.0,17.2,29.5,4.3,19.7,3.6,0.0,0.0,13.5,1.3,975.0,15.0,20.0,24.0,1.0
,Per gram,1.0,2.15,0.027,0.115,0.197,0.029,0.131,0.024,0.0,0.0,0.09,0.009,6.5,0.1,0.133,0.16,0.007
Avocado Salad,Per serving (300 g),300.0,513.0,7.3,33.4,43.7,6.3,29.6,5.3,0.0,585.0,17.8,11.0,1765.0,725.0,66.0,74.0,2.2
,Per gram,1.0,1.71,0.024,0.111,0.146,0.021,0.099,0.018,0.0,1.95,0.059,0.037,5.88,2.417,0.22,0.247,0.007
Cheese Pizza,Per slice (100 g),100.0,274.0,11.7,34.3,10.0,4.6,2.7,1.7,18.0,585.0,2.4,3.7,177.0,71.0,1.0,194.0,2.5
,Per gram,1.0,2.74,0.117,0.343,0.1,0.046,0.027,0.017,0.18,5.85,0.024,0.037,1.77,0.71,0.01,1.94,0.025
"14"" Pepperoni Pizza",Per gram,1.0,3.04,0.122,0.338,0.133,0.051,0.04,0.032,0.25,7.02,0.023,0.031,2.0,0.75,0.01,1.57,0.027
,Per slice (98.0 g),98.0,298.0,12.0,33.1,13.0,5.0,3.9,3.1,24.5,688.0,2.3,3.0,196.0,73.5,1.0,154.0,2.6
Pizza with Meat,Per gram,1.0,3.22,0.15,0.345,0.148,0.06,0.051,0.026,0.37,7.8,0.03,0.051,2.5,0.83,0.0,1.63,0.025
,Per serving (82.3 g),82.3,265.0,12.3,28.4,12.2,4.9,4.2,2.1,30.5,642.0,2.5,4.2,206.0,68.3,0.0,134.0,2.1
Pizza with Meat and Vegetables,Per gram,1.0,3.32,0.15,0.345,0.148,0.06,0.052,0.026,0.37,7.8,0.03,0.051,2.5,0.83,0.0,1.63,0.025
,Per slice (83.1 g),83.1,276.0,12.5,28.7,12.3,5.0,4.3,2.2,30.7,648.0,2.5,4.2,208.0,69.0,0.0,135.0,2.1
Thin Crust Cheese Pizza,Per gram,1.0,2.71,0.116,0.281,0.127,0.056,0.031,0.027,0.257,6.69,0.023,0.033,1.79,0.64,0.029,2.59,0.016
,Per slice (76.8 g),76.8,208.0,8.9,21.6,9.8,4.3,2.4,2.1,19.7,514.0,1.8,2.5,137.0,49.2,2.2,199.0,1.2
Thick Crust Pizza with Meat,Per gram,1.0,3.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
,Per slice (102 g),102.0,305.0,10.2,30.6,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,204.0,0.0
White Rice,Per gram,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Per serving (135 g),135.0,135.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fried Tofu,Per piece (20 g),20.0,35.0,2.4,1.2,2.6,0.4,0.6,1.5,0.0,0.0,0.5,0.4,19.0,0.0,0.0,48.0,0.6
,Per gram,1.0,1.75,0.12,0.06,0.13,0.02,0.03,0.075,0.0,0.0,0.025,0.02,0.95,0.0,0.0,2.4,0.03
